recipe,ctdt,ref,ingredients,status,instructions,prep_retrospective,taste_restrospective,prepscore,tastescore,leftovertastescore,healthscore,menudescription,menuprice,menuqty,menuimgurl,menucategory
French onion soup,12/21/15,http://allrecipes.com/recipe/228859/slow-cooker-french-onion-soup/,6 tablespoons butter; 4 large yellow onions sliced and separated into rings; 1 tablespoon white sugar; 2 cloves garlic minced; 1/2 cup cooking sherry; 7 cups reduced-sodium beef broth; 1 teaspoon sea salt or to taste; 1/4 teaspoon dried thyme; 1 bay leaf; 8 slices of French bread; 1/2 cup shredded Gruyere cheese; 1/3 cup shredded Emmental cheese; 1/4 cup freshly shredded Parmesan cheese,not started,"Heat butter in a large heavy pot over medium-high heat; cook and stir onions until they become translucent about 10 minutes. Sprinkle onions with sugar; reduce heat to medium. Cook stirring constantly until onions are soft and browned at least 30 minutes. Stir in garlic and cook until fragrant about 1 minute.
Stir sherry into onion mixture and scrape bottom of pot to dissolve small bits of browned food from the pot. Transfer onions into a slow cooker and pour in beef broth. Season to taste with sea salt; stir in thyme and bay leaf. Cover cooker set on High and cook 4 to 6 hours. If desired set on Low and cook 8 to 10 hours.
About 10 minutes before serving set oven rack about 8 inches from the heat source and preheat the oven's broiler. Arrange bread slices on a baking sheet.
Broil bread slices until toasted 1 to 2 minutes per side.
Combine Gruyere Emmental Parmesan and mozzarella cheeses in a bowl tossing lightly. Fill oven-safe soup crocks 3/4 full of onion soup and float a bread slice in each bowl. Top with about 2 tablespoons of cheese mixture per serving.
Place filled bowls onto a baking sheet and broil until cheese topping is lightly browned and bubbling about 2 minutes.",,,,9,,,Classic french onion soup.,2.05,1 bowl,http://162.61.226.249/PicOriginal/P63382612080903_5.jpg,dinner
Rice pudding,12/21/15,http://www.food.com/recipe/yummy-creamy-rice-pudding-46072,3/4 cup uncooked white rice;2 cups milk divided;1/3 cup white sugar;1/4 teaspoon salt;1 egg beaten;2/3 cup raisins;1 tablespoon butter;1/2 teaspoon vanilla extract;,not started,"In a medium saucepan bring 1 1/2 cups water to a boil.
Add rice and stir.
Reduce heatcover and simmer for 20 minutes.
In another saucepan combine the cooked rice with 1 1/2 cups milk sugar and salt.
Cook over medium heat until thick and creamy 15 to 20 minutes.
Stir in remaining 1/2 cup milk beaten egg and raisins.
Cook 2 minutes more stirring constantly.
Remove from heat and stir in butter and vanilla.
Serve warm.",,,,9,,,Rice pudding topped with cinnamon and raisins.,0.95,1 bowl,http://www.sprinklesomesugar.com/wp-content/uploads/2014/04/IMG_5063-2.jpg,snack
Scrambled eggs,2/2/16,home-made,1 cup 2% milk; 4 eggs; one small jalapeno; 8 oz sausage; 3 oz onion; 3 oz tater tots; 2 oz diced tomato,done,Add oil to a medium warm sauce pan. Mix the eggs with the 2% milk in a small bowl. add egg mix and all remaining ingredients to the pan. stir frequently until the eggs are fully cooked.,easy. takes very little effort.,tastes good.,9,10,8,,Scrambled eggs  mixed with sausage onions jalapenos and tomatoes.,1.15,16 oz,http://www.ancestral-nutrition.com/wp-content/uploads/2013/08/1aaqsecuredownload-1024x910-800x500.jpg,breakfast
Big Mac,2/4/16,http://www.topsecretrecipes.com/McDonalds-Special-Sauce-Big-Mac-Sauce-Copycat-Recipe.html,1 sesame-seed hamburger bun; half of an additional hamburger bun; 1/4 lb ground beef; dash salt; 1 teaspoon finely diced onion; 1/2 cup chopped lettuce; 1 slice American cheese; 2 to 3 dill pickle slices,done,With a serrated knife cut the top off the extra bun half and make this the middle bun. Toast the three bun halves to light brown. Divide the ground beef in half and press two thin patties slightly larger than the bun. Cook the patties in the hot pan over medium heat until brown. Salt and pepper lightly. Build the burger in the following order from bottom up: bottom bum half of onion half of lettuce american cheese beef patty middle bun remainder of onion remainder of lettuce pickle slices beef patty top bun.,easy. not a very complicated burger.,i feel gross after eating it with the sauce but i feel good after eating it with no sauce.,9,3,2,,The classic McDonalds Big Mac served without the sauce.,1.81,1 burger,https://mcdonalds.com.au/sites/mcdonalds.com.au/files/hero_pdt_big_mac.png,dinner
Phad thai,2/9/16,http://www.epicurious.com/recipes/food/views/easy-pad-thai-51222610,8 ounces pad thai or lo mein noodles;2 tablespoons vegetable oil;1 clove garlic minced;2 large eggs;1 1/2 tablespoons soy sauce;2 tablespoons fresh lime juice (from about 1 medium lime);2 tablespoons brown sugar;1 teaspoon fish sauce;1/8 teaspoon red pepper flakes;3 green onions;1/4 bunch fresh cilantro leaves only roughly chopped;1/4 cup chopped unsalted peanuts,not started,"Bring a large pot of water to a rolling boil. Add the noodles and cook for 7 to 10 minutes or until tender. Drain the noodles and set aside.
In a large skillet heat the vegetable oil over medium heat. Add the garlic and cook for 1 to 2 minutes or until tender.
Whisk the eggs lightly with a fork. Pour them into the skillet and cook just until they solidify but are still moist moving the eggs around the skillet slightly as they cook so that they lightly scramble. When the eggs are cooked remove the skillet from the heat and set aside.
In a small bowl stir together the soy sauce lime juice sugar fish sauce and red pepper flakes. Pour the sauce into the skillet with the scrambled eggs. Add the noodles and toss to coat in the sauce.
Sprinkle the green onions cilantro and peanuts over the noodles. Toss lightly to combine. Serve warm",,,,9,,,Stir-fried thin rice noodle with eggs green onion bean sprouts and sliced lime with ground peanut.,2.11,16 oz,http://thaiuup.com/wp-content/uploads/2013/07/menu_padthai-200x128.jpg,dinner
Grilled cheese,2/9/16,home-made,sourdough bread; gouda cheese; tomato slices; jalapenos; pickles,needs pickle,brush oil onto the bottom of the panini press. heat the pan with oil then heat the plate. add butter to the bread. slice cheese jalapeno and tomato slices onto the bread. combine the bread into the pan. cover the top of the sandwich with the plate. flip over. wait 2 minutes to cool,easy. takes very little effort.,tastes really good later.,9,10,4,,The classic all american cheese grilled cheese sandwich topped with jalapenos avacados and tomatoes grilled up on sourdough bread,0.87,1 sandwich,https://jalapenogalswayoflivingdotcom.files.wordpress.com/2013/11/grilled-cheese-tomato-soup.jpg,lunch
Whopper,2/9/16,http://www.topsecretrecipes.com/Burger-King-Whopper-Copycat-Recipe.html,"1 sesame-seed hamburger bun;
1/4 pound ground beef;
dash of salt;
3 dill pickle slices;
1 tsp ketchup;
3-4 onion rings;
2 tomato slices;
1/4 cup chopped lettuce;
1 tbsp mayonnaise;",not started,"build the burger in the following stacking order from the bottom up:
bottom bun
hamburger patty
pickles
ketchup
onion rings
tomatoes
lettuce
mayonnaise
top bun",,,,9,,,A ¼ lb of savory flame-grilled beef topped with juicy tomatoes fresh lettuce creamy mayonnaise ketchup crunchy pickles and sliced white onions on a soft sesame seed bun.,1.82,1 sandwich,http://cbsnews1.cbsistatic.com/hub/i/2013/05/28/c6f3427f-d26f-11e2-a43e-02911869d855/whopper.jpg,dinner
McD's cheeseburger,2/9/16,http://www.topsecretrecipes.com/McDonalds-Hamburger-Copycat-Recipe.html,"1/8 pound ground beef;
1 hamburger bun;
salt to taste;
1 tbsp ketchup;
1/2 teaspoon mustard;
1/2 teaspoon finely minced onion;
1 dill pickle slice;",not started,"on the top bun spread the ketchup mustard and onion in that order and top with the pickle slice.
put the beef patty on the bottom bun and slap the top and bottom together.
microwave the burger on high for 10-15 seocnds.",,,,9,,,A juicy 100% beef patty simply seasoned with a pinch of salt and pepper melty American cheese tangy pickles minced onions ketchup and mustard.,1.31,1 sandwich,https://mcdonalds.com.au/sites/mcdonalds.com.au/files/hero_pdt_cheeseburger.png,dinner
Pasta,2/28/16,home-made,tri-color rotini or macaroni elbow marinara sauce grated parmesan cheese diced tomatoes jalapenos,not started,bring water to a boil. add pasta until soft. drain water. add marinara sauce parmesan cheese jalapenos and diced tomatoes to the pasta. stir. serve.,,,,9,,,noodles made with egg and flour.,0.8,16 oz,http://p-fst2.pixstatic.com/5085e01ddbd0cb0342000027._w.1500_s.fit_.jpg,dinner
Meatballs,2/28/16,http://www.myrecipes.com/recipe/big-spicy-meatballs,2 pounds lean ground beef;2 pounds ground pork;1 medium onion;1 cup rice krispies;5 cloves garlic;2 eggs;1/2 cup chopped fresh parsley;1/4 cup olive oil;1 tablespoon Italian seasoning;1 tablespoon kosher salt;1 1/2 cups freshly grated Parmesan cheese;3 teaspoons freshly ground black pepper;1 1/2 cups ricotta,not started,"Preheat oven to 400° F.

In a large bowl combine the first 10 ingredients 1 cup of the Parmesan and 2 teaspoons of the pepper. Mix just to combine. Shape the mixture into 16 to 18 large meatballs (each should be about ¾ cup of meat). Place on a baking pan and set aside.

In a medium bowl combine the ricotta with the remaining Parmesan and the remaining pepper; set aside.

Bake the meatballs for 20 minutes in upper third of oven. Remove from oven and turn on broiler. Spoon 1 tablespoon of the ricotta mixture onto each meatball. Broil 3 to 5 minutes or until the ricotta just starts to brown. Serve the meatballs with jarred marinara sauce.

To Freeze: Omit the ricotta mixture. Place the baked meatballs on a baking sheet and freeze for at least 1 hour. Transfer to resealable freezer bags and return to the freezer. Store for up to 3 months.

To Reheat: Thaw the meatballs overnight in the refrigerator or thaw partially in the microwave. Place them in a baking dish cover with foil and heat in a 350° F oven for 20 minutes. Top with the ricotta mixture and broil as described above. Serve on top of the warmed pasta sauce.",,,,9,,,Half-beef half-pork meatballs with added spice salt and pepper.,1.45,16 oz,http://static.communitytable.parade.com/wp-content/uploads/2014/03/baked-italian-meatballs-tsri.jpg,dinner
